FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2228	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2229	Fungi	Ascomycota	Sordariomycetes	Xenospadicoidales	Xenospadicoidaceae	Spadicoides	fuscolutea
OTU_2230	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2231	Fungi	Rozellomycota	Rozellomycotina_cls_Incertae_sedis	GS08	GS08_fam_Incertae_sedis	GS08_gen_Incertae_sedis	NA
OTU_2232	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreales_fam_Incertae_sedis	Hypocreales_gen_Incertae_sedis	NA
OTU_2233	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2234	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Gamsia	NA
OTU_2235	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2236	Fungi	Sanchytriomycota	Sanchytriomycetes	Sanchytriales	Sanchytriaceae	Sanchytrium	NA
OTU_2237	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2238	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2239	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	NA
OTU_2240	Fungi	Ascomycota	Sordariomycetes	Sordariales	Helminthosphaeriaceae	Endophragmiella	constricta
OTU_2241	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Xenochalara	NA
OTU_2242	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Xylariales_gen_Incertae_sedis	NA
OTU_2243	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2244	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Hypomyces	aurantius
OTU_2245	Fungi	Ascomycota	Pezizomycotina_cls_Incertae_sedis	Pezizomycotina_ord_Incertae_sedis	Pezizomycotina_fam_Incertae_sedis	Triscelophorus	NA
OTU_2246	Fungi	Ascomycota	Leotiomycetes	Helotiales	Dermateaceae	Cryptosporiopsis	NA
OTU_2247	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Niesslia	aurantiaca
OTU_2248	Fungi	Ascomycota	Dothideomycetes	NA	NA	NA	NA
OTU_2249	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2250	Fungi	Ascomycota	Leotiomycetes	Helotiales	Arachnopezizaceae	Arachnopeziza	NA
OTU_2251	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	multiseptata
OTU_2252	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2253	Fungi	Ascomycota	Lecanoromycetes	Lecanoromycetes_ord_Incertae_sedis	Lecanoromycetes_fam_Incertae_sedis	Lecanoromycetes_gen_Incertae_sedis	NA
OTU_2254	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	neorufescens
OTU_2255	Fungi	NA	NA	NA	NA	NA	NA
OTU_2256	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	NA
OTU_2257	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_2258	Fungi	Glomeromycota	Glomeromycetes	Entrophosporales	Entrophosporaceae	Claroideoglomus	NA
OTU_2259	Fungi	Ascomycota	Leotiomycetes	Leotiales	Leotiales_fam_Incertae_sedis	Alatospora	NA
OTU_2260	Fungi	NA	NA	NA	NA	NA	NA
OTU_2261	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2262	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Volutella	NA
OTU_2263	Fungi	Ascomycota	Leotiomycetes	Helotiales	NA	NA	NA
OTU_2264	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinales_fam_Incertae_sedis	Sebacinales_gen_Incertae_sedis	NA
OTU_2265	Fungi	Ascomycota	Leotiomycetes	Leotiales	Tympanidaceae	Collophorina	NA
OTU_2266	Fungi	NA	NA	NA	NA	NA	NA
OTU_2267	Fungi	Basidiomycota	Basidiomycota_cls_Incertae_sedis	Basidiomycota_ord_Incertae_sedis	Basidiomycota_fam_Incertae_sedis	Basidiomycota_gen_Incertae_sedis	NA
OTU_2268	Fungi	Ascomycota	Eurotiomycetes	Sclerococcales	Dactylosporaceae	Dactylospora	NA
OTU_2269	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	subporospora
OTU_2270	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Odontia	fibrosa
OTU_2271	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2272	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2273	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2274	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA
OTU_2275	Fungi	Ascomycota	Sordariomycetes	Sordariales	Helminthosphaeriaceae	NA	NA
OTU_2276	Fungi	NA	NA	NA	NA	NA	NA
OTU_2277	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	chaetospira
OTU_2278	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	NA
OTU_2279	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Leptobacillium	NA
OTU_2280	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Metschnikowia	saccharicola
OTU_2281	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Rozellomycota_gen_Incertae_sedis	NA
OTU_2282	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	brunneifolius
OTU_2283	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pezizellaceae	Scleropezicula	NA
OTU_2284	Fungi	Rozellomycota	Rozellomycota_cls_Incertae_sedis	Rozellomycota_ord_Incertae_sedis	Rozellomycota_fam_Incertae_sedis	Paramicrosporidium	NA
OTU_2285	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2286	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	xenobiotica
OTU_2287	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dacampiaceae	Aaosphaeria	arxii
OTU_2288	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Scolecobasidium	bacilliforme
OTU_2289	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	neerlandica
OTU_2290	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Fusariella	NA
OTU_2291	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA
OTU_2292	Fungi	Ascomycota	Sordariomycetes	Sordariales	Sordariales_fam_Incertae_sedis	Sordariales_gen_Incertae_sedis	NA
OTU_2293	Fungi	Ascomycota	Dothideomycetes	Venturiales	Venturiaceae	Venturia	chinensis
OTU_2294	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Mycenaceae	Hemimycena	NA
OTU_2295	Fungi	NA	NA	NA	NA	NA	NA
OTU_2296	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Chaetospermum	NA
OTU_2297	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	NA
